Date,average_temp,high_temp,low_temp
2001-08-01,27.63853948,32.66352687,24.46118592
2001-08-02,28.49419033,33.41079883,24.61340891
2001-08-03,28.52598666,33.5370592,24.69027975
2001-08-04,28.3598447,33.84163539,24.22845304
2001-08-05,25.83999492,30.0539323,23.41758063
2001-08-06,27.08958971,32.39375442,22.70145892
2001-08-07,26.36919543,30.97703474,23.86909251
2001-08-08,26.43935051,30.95070841,23.03495956
2001-08-09,25.11755835,30.14692071,21.08117951
2001-08-10,24.95181211,29.63108082,21.16287202
2001-08-11,24.00747298,27.17606011,21.53730551
2001-08-12,23.17514768,26.36991226,20.62564533
2001-08-13,22.87350743,26.07282354,20.21320561
2001-08-14,25.07316923,29.37096551,21.68052703
2001-08-15,25.31029249,29.63222299,22.51469195
2001-08-16,27.44819522,33.23135173,22.84241726
2001-08-17,28.0523118,33.24805856,23.43637377
2001-08-18,27.45488921,32.13929927,23.48772634
2001-08-19,26.69354334,31.35708464,22.4836388
2001-08-20,26.59007717,31.79749944,22.31812843
2001-08-21,26.31443141,31.47863807,22.3288663
2001-08-22,25.90315847,30.89185797,22.14022151
2001-08-23,25.30346193,30.7269222,20.90151602
2001-08-24,25.10987002,31.09797619,19.79228642
2001-08-25,24.02538706,28.99055039,20.55875018
2001-08-26,24.22896801,30.47230763,19.21590676
2001-08-27,24.39161268,30.34293867,19.33438715
2001-08-28,23.64362219,29.72827503,18.43713398
2001-08-29,23.00318051,27.68020598,18.93680454
2001-08-30,22.55630053,27.79881482,18.77186606
2001-08-31,22.95139664,29.01021405,17.36609238
2001-09-01,23.78033251,30.09850314,18.73319543
2001-09-02,24.3679539,30.72491189,18.37408464
2001-09-03,24.69688897,30.79993387,19.22979447
2001-09-04,23.57693,28.75732397,19.35058369
2001-09-05,23.70280669,28.98619565,19.48701672
2001-09-06,23.19679401,28.62472224,19.57321685
2001-09-07,23.91002366,30.09723314,18.68156863
2001-09-08,24.2361682,29.29030754,19.66188869
2001-09-09,23.45285539,27.11185013,21.22580799
2001-09-10,23.26804253,27.55718757,20.1730824
2001-09-11,22.46449252,27.607096,18.74288656
2001-09-12,20.99100384,26.73272809,16.03491042
2001-09-13,21.3422679,26.91423113,15.65267459
2001-09-14,20.54886228,24.4263276,16.99370963
2001-09-15,21.72912588,28.39910512,16.21898835
2001-09-16,21.89848068,29.30449244,16.11370459
2001-09-17,22.34023091,28.39027785,17.04828825
2001-09-18,22.38645598,28.30425895,16.9104094
2001-09-19,20.43913998,26.93109509,13.50773172
2001-09-20,21.20114154,26.61129981,17.59713224
2001-09-21,18.62248107,25.30339169,13.12334056
2001-09-22,16.50167242,23.33394986,10.06514311
2001-09-23,17.48861371,24.56069822,11.37630747
2001-09-24,18.57385763,25.70539871,12.30479898
2001-09-25,19.77043998,25.48228241,15.97075523
2001-09-26,19.67505453,26.18664543,13.97433405
2001-09-27,19.94819279,26.65152758,15.07691662
2001-09-28,19.56202454,26.71549043,13.04604262
2001-09-29,19.65090379,24.65009845,15.42943024
2001-09-30,15.70614126,18.7151912,14.42939047
2001-10-01,16.2705994,20.75058282,13.18315512
2001-10-02,17.25699661,24.70479199,11.0438465
2001-10-03,18.29854594,22.81428777,14.59404348
2001-10-04,17.20557451,21.21312646,14.12648846
2001-10-05,15.03148305,20.88916524,10.42766241
2001-10-06,15.75358653,22.9382576,9.214659015
2001-10-07,17.17108629,22.04620848,11.92368023
2001-10-08,18.59628849,24.34709584,14.63952526
2001-10-09,16.00729779,17.62639639,14.27864764
2001-10-10,15.39408772,18.60875982,12.67933329
2001-10-11,16.4016445,21.06095191,12.89992865
2001-10-12,15.69313636,21.21117384,11.13312331
2001-10-13,15.78785507,23.36405891,9.848563847
2001-10-14,16.67549143,24.68856427,10.21956158
2001-10-15,17.147337,21.45988445,12.54482676
2001-10-16,17.16607619,22.09245231,13.65569003
2001-10-17,13.74638077,19.21874011,9.197977878
2001-10-18,13.06895856,19.94684687,7.050995186
2001-10-19,13.53462123,20.96516926,7.366694444
2001-10-20,14.67184281,21.22602174,8.336835154
2001-10-21,15.57855511,20.37399756,10.88332852
2001-10-22,16.61937887,21.80726225,12.90364216
2001-10-23,15.26616582,22.22893966,10.34142184
2001-10-24,15.07830642,22.12039353,10.17067778
2001-10-25,15.98971194,22.58570871,10.43469055
2001-10-26,16.38530482,21.66881692,12.892732
2001-10-27,15.5855352,19.5911957,11.867889
2001-10-28,16.52241325,21.61750853,13.13466169
2001-10-29,14.74532603,19.54578559,11.27960322
